COLLEGE OF ENGINEERING VADAKARA
CIVIL ENGINEERING,
Course Code,Course
MA101,CALCULUS
PH100,ENGINEERING PHYSICS
BE110,ENGINEERING GRAPHICS
BE10101,INTRODUCTION TO CIVIL ENGINEERING
BE103,INTRODUCTION TO SUSTAINABLE ENGINEERING
EE100,BASICS OF ELECTRICAL ENGINEERING
PH110,ENGINEERING PHYSICS LAB
CE110,CIVIL ENGINEERING WORKSHOP
EE110,ELECTRICAL ENGINEERING WORKSHOP
Register Number,MA101,PH100,BE110,BE10101,BE103,EE100,PH110,CE110,EE110
VDA15CS027,B,B,B,F,B+,F,O[S],B+,C
VDA15CS028,F,F,F,F,C,F,A+,A,C
VDA15CS029,C,C,B,F,C,C,O[S],O[S],B
VDA15CS030,F,F,F,F,F,F,A,B,P
VDA15CS031,B,F,F,F,C,F,B+,B,C
VDA15CS032,C,F,B,B+,B+,B,A,O[S],P
VDA15CS033,B,B,B,C,B,B+,O[S],O[S],B+
VDA15CS034,B,F,F,F,B+,B,A+,B+,B+
VDA15CS035,F,P,F,B,C,C,A,B+,C
VDA15CS036,A,F,C,F,A+,B,O[S],B+,B
VDA15CS037,B,F,F,C,C,F,A,A,C
VDA15CS038,C,F,B,B,B,B,A+,A+,B
VDA15CS039,B+,B,A+,B,B+,B+,O[S],A+,B+
VDA15CS040,B+,C,B+,B,B+,B,O[S],O[S],B
VDA15CS041,B,C,C,C,B+,B,O[S],O[S],B
VDA15CS042,F,F,F,F,C,F,B+,A,P
VDA15CS043,F,F,F,B,B,B,O[S],A,C
VDA15CS044,B,F,C,C,B,B,A+,B+,C
VDA15CS045,P,F,F,F,B,C,A,O[S],C
VDA15CS046,B,F,C,F,B,B+,A,A,B
VDA15CS047,C,F,P,F,B,C,A+,B+,C
VDA15CS048,C,F,F,B,B,F,B+,A+,C
VDA15CS049,B,F,B,F,B,C,A+,B+,B
VDA15CS050,B,F,C,F,B+,C,A+,O[S],B
VDA15CS051,B,C,F,F,B,P,A,A+,C
VDA15CS052,FE,F,F,F,F,FE,A,B,P
VDA15CS053,B,P,B,C,B,C,A+,B+,P
VDA15CS054,C,C,B+,F,B+,B,A+,O[S],B
VDA15CS055,C,F,B,F,B,C,A+,A,C
VDA15CS056,C,C,B,B,B,F,A+,B+,B
VDA15CS057,F,F,F,F,C,F,A+,A,C
VDA15CS058,C,F,B,B,B+,C,A,O[S],B
VDA15CS059,F,F,F,C,B,F,A+,O[S],C
ELECTRICAL AND ELECTRONICS ENGINEERING,
Course Code,Course
MA101,CALCULUS
CY100,ENGINEERING CHEMISTRY
BE100,ENGINEERING MECHANICS
BE10103,INTRODUCTION TO ELECTRICAL ENGINEERING
BE103,INTRODUCTION TO SUSTAINABLE ENGINEERING
EC100,BASICS OF ELECTRONICS ENGINEERING
CY110,ENGINEERING CHEMISTRY LAB
EE110,ELECTRICAL ENGINEERING WORKSHOP
EC110,"ELECTRONICS ENGINEERINGWORKSHOP"
Register Number,MA101,CY100,BE100,BE10103,BE103,EC100,CY110,EE110,EC110
VDA15EE001,F,F,F,F,P,F,O[S],A,B+
VDA15EE002,A+,B+,A,B+,B+,B,O[S],O[S],A
VDA15EE003,F,F,P,F,C,F,A,A,B
VDA15EE004,C,B,B,B,B,F,A+,A+,A
VDA15EE005,B,A,A,B+,A,B+,O[S],A+,A+
VDA15EE006,B+,B+,B+,B,B,B,O[S],O[S],A
VDA15EE007,F,C,C,C,C,F,O[S],A,B
VDA15EE008,B+,F,B+,B,B,F,O[S],A,A
VDA15EE009,B,F,B,B,B,F,O[S],A+,A
VDA15EE010,F,F,C,C,B,C,O[S],A,B+
VDA15EE011,F,F,B,F,B+,F,O[S],A+,B+
VDA15EE012,B,B,B,C,B,C,O[S],A,B+
VDA15EE013,B+,C,B,B,B,C,O[S],A+,B+
VDA15EE014,C,B,C,F,B,C,O[S],A,B+
VDA15EE015,F,F,C,F,P,F,O[S],B+,B
VDA15EE016,B,F,F,F,C,F,A,B+,B+
VDA15EE017,FE,FE,FE,FE,FE,FE,I,I,I
VDA15EE018,P,P,B,F,P,C,B+,A,B
VDA15EE019,B,F,C,F,F,F,B+,B+,B+
VDA15EE020,A,F,C,C,C,F,O[S],A,A
VDA15EE021,C,F,C,C,C,C,A+,B+,B
VDA15EE022,B+,C,B,B,B,B,O[S],A,B
VDA15EE023,C,F,B,F,C,F,O[S],B+,B+
VDA15EE024,A+,B,B+,C,B+,C,O[S],A+,A+
VDA15EE025,C,C,B,B,C,B,B+,A,B+
VDA15EE026,F,F,C,C,C,B,O[S],A,B+
VDA15EE027,C,F,C,C,P,F,A+,A,B+
VDA15EE028,B+,C,B,B,B+,B,O[S],A,A
VDA15EE029,B,C,F,C,C,B,B+,A,B+
VDA15EE030,B,F,C,B,B,B,B+,B+,B+
VDA15EE031,C,F,F,F,P,F,A,A+,B+
VDA15EE032,B+,C,B+,B,C,B,O[S],A,B+
VDA15EE033,B,F,P,F,B,F,O[S],B+,B+
VDA15EE034,C,A,C,C,B+,C,O[S],A+,A+
VDA15EE035,B+,F,B+,B,C,F,A,A+,A
VDA15EE036,B+,F,C,C,C,F,O[S],A,A
VDA15EE037,A+,F,B+,B,B+,F,O[S],A,A+
VDA15EE038,B,F,C,F,B,F,O[S],A,B+
VDA15EE039,F,F,P,C,B,C,A,A,B+
VDA15EE040,B,C,B,B,B,F,A+,O[S],A
VDA15EE041,B+,C,A,A,B+,B,O[S],A+,A
ELECTRONICS & COMMUNICATION ENGG,
Course Code,Course
MA101,CALCULUS
CY100,ENGINEERING CHEMISTRY
BE100,ENGINEERING MECHANICS
BE10104,INTRODUCTION TO ELECTRONICS ENGINEERING
BE103,INTRODUCTION TO SUSTAINABLE ENGINEERING
ME100,BASICS OF MECHANICAL ENGINEERING
CY110,ENGINEERING CHEMISTRY LAB
EC110,"ELECTRONICS ENGINEERINGWORKSHOP"
ME110,MECHANICAL ENGINEERING WORKSHOP
Register Number,MA101,CY100,BE100,BE10104,BE103,ME100,CY110,EC110,ME110
VDA15EC001,B+,B,B+,C,B,B+,A,A+,C
VDA15EC002,F,F,F,F,B,F,O[S],A,B
VDA15EC003,P,C,F,F,B+,C,O[S],A,B
VDA15EC004,C,B,B,F,B,B+,A+,A+,B+
VDA15EC005,B,F,C,F,C,F,O[S],B,C
VDA15EC006,F,C,B,C,B,B,A,B,C
VDA15EC007,C,B,B+,C,B,C,O[S],B+,B+
VDA15EC008,B+,C,B,F,C,F,O[S],B+,B
VDA15EC009,F,C,P,F,B+,C,B+,A,C
VDA15EC010,F,B,C,F,B+,B,O[S],A,B
VDA15EC011,B,B,C,C,B,B,O[S],A,B
VDA15EC012,F,B,B+,B+,B+,B+,O[S],B+,A
VDA15EC013,B,C,B,B,B,C,A+,B+,B
VDA15EC014,F,F,F,F,B,F,O[S],A,C
VDA15EC015,B+,B+,B,C,B,B,O[S],A,C
VDA15EC016,F,B,B,F,B+,C,O[S],A,C
VDA15EC017,F,F,F,F,F,F,A+,B+,C
VDA15EC018,F,C,C,F,B,B,O[S],A,B
VDA15EC019,B+,C,B,F,B,B,O[S],B+,B
VDA15EC020,B+,B+,B+,F,B+,C,O[S],A,B
VDA15EC021,A,B,A,C,A,C,O[S],A+,B+
VDA15EC022,F,C,P,F,C,F,O[S],B+,B
VDA15EC023,B+,B+,B+,B,B,F,O[S],B+,B
VDA15EC024,A,C,B,F,C,F,O[S],A+,B+
VDA15EC025,B+,B,B+,C,B,F,O[S],A+,B+
VDA15EC026,C,B+,B+,F,B+,B+,O[S],A,B+
VDA15EC027,F,C,P,F,P,F,B+,B,C
VDA15EC028,FE,F,F,F,F,F,B,B,C
VDA15EC029,F,F,F,F,B,F,A,B+,B
VDA15EC030,B+,B+,B+,F,B+,B,O[S],A,B
VDA15EC031,C,C,C,F,C,C,A,B+,C
VDA15EC032,C,B,B,C,B+,B,O[S],A,B
VDA15EC033,F,C,C,F,B,C,O[S],A+,B
VDA15EC034,B,C,C,F,B,C,O[S],A+,B
VDA15EC035,B,B,B+,F,B,B,O[S],A+,A
VDA15EC036,B+,B+,C,C,B,B,O[S],B+,B+
VDA15EC037,B,B+,B,F,B+,B,O[S],A,B
VDA15EC038,B+,B,B,B,B,F,A+,A+,B+
VDA15EC039,B,B+,C,C,B,B+,O[S],A,B+
VDA15EC040,A,C,A+,C,B,B+,O[S],A,B
VDA15EC041,F,C,F,F,B,C,A+,A,C
VDA15EC042,A,B+,A+,C,B+,B+,O[S],O[S],O[S]
VDA15EC043,B,C,F,F,B,C,O[S],A,C
ELECTRONICS & INSTRUMENTATION ENGINEERING,
Course Code,Course
MA101,CALCULUS
BE110,ENGINEERING GRAPHICS
BE10104,INTRODUCTION TO ELECTRONICS ENGINEERING
PH110,ENGINEERING PHYSICS LAB
PH100,ENGINEERING PHYSICS
EC110,"ELECTRONICS ENGINEERINGWORKSHOP"
EE110,ELECTRICAL ENGINEERING WORKSHOP
BE103,INTRODUCTION TO SUSTAINABLE ENGINEERING
EE100,BASICS OF ELECTRICAL ENGINEERING
Register Number,MA101,BE110,BE10104,PH110,PH100,EC110,EE110,BE103,EE100
VDA15AE001,A,A+,C,O[S],B+,O[S],O[S],B,B+
VDA15AE002,B,C,F,A,F,A,B+,B,F
VDA15AE003,B,B+,C,A+,C,A,A+,B,C
VDA15AE004,C,C,F,A,F,A+,B+,F,F
VDA15AE005,C,B+,F,O[S],F,O[S],A+,B,B
VDA15AE006,C,F,F,O[S],P,B+,B,C,F
VDA15AE007,C,B+,C,O[S],B,A+,B,B+,F
VDA15AE008,C,C,F,A+,F,O[S],A+,B,F
VDA15AE009,F,F,F,A+,F,A+,B,C,F
VDA15AE010,F,C,F,A,F,A+,B+,C,F
VDA15AE011,C,B,F,O[S],B,A,B+,B+,F
VDA15AE012,F,F,F,A+,F,A+,B,B,F
VDA15AE013,F,F,F,A,F,A,B,F,F
VDA15AE014,F,B,F,A,F,O[S],A,B,C
VDA15AE015,C,C,F,A+,F,O[S],A+,B,F
VDA15AE016,P,B,F,O[S],C,A+,B+,C,F
VDA15AE017,F,A+,C,O[S],C,O[S],A+,B,C
VDA15AE018,F,F,F,A,C,O[S],O[S],B,B
VDA15AE019,F,P,F,A+,F,A+,B+,C,F
VDA15AE020,F,C,F,A,F,A,A,B,F
VDA15AE021,F,F,F,A+,F,A+,B+,B,F
VDA15AE022,C,F,F,A,C,A+,B+,B,F
VDA15AE023,C,C,F,O[S],F,A,B+,C,F
VDA15AE024,F,F,F,A,F,A,B+,P,C
VDA15AE025,F,F,F,O[S],F,A+,A,C,F
VDA15AE026,F,F,F,A,F,B+,B+,F,F
VDA15AE027,C,C,F,O[S],F,A,B+,B,C
VDA15AE028,F,F,F,A+,F,B+,B+,C,C
VDA15AE029,C,O[S],C,O[S],C,O[S],B+,B,F
INFORMATION TECHNOLOGY
Course Code,Course
BE10105,"INTRODUCTION TO COMPUTING AND PROBLEMSOLVING"
BE100,ENGINEERING MECHANICS
CY100,ENGINEERING CHEMISTRY
MA101,CALCULUS
CS110,COMPUTER SCIENCE WORKSHOP
ME110,MECHANICAL ENGINEERING WORKSHOP
CY110,ENGINEERING CHEMISTRY LAB
ME100,BASICS OF MECHANICAL ENGINEERING
BE103,INTRODUCTION TO SUSTAINABLE ENGINEERING
Register Number,BE10105,BE100,CY100,MA101,CS110,ME110,CY110,ME100,BE103
VDA15IT001,F,F,F,F,B,C,A,F,F
VDA15IT002,B+,C,B,C,A,C,O[S],B,C
VDA15IT003,F,C,F,C,A,C,A+,F,C
VDA15IT004,C,C,C,B,O[S],C,O[S],C,C
VDA15IT005,Absent,C,F,F,B+,C,A,F,F
VDA15IT006,F,B,F,F,B+,C,O[S],F,C
VDA15IT007,B,B,B,B+,A,C,O[S],C,C
VDA15IT008,F,F,F,F,B,P,B+,F,C
VDA15IT009,B+,B+,C,B,O[S],C,A,F,C
VDA15IT010,F,F,F,F,O[S],B+,A,F,B
VDA15IT011,F,P,F,F,A,B,O[S],C,B
VDA15IT012,B,B,C,C,A,P,B+,B,A
VDA15IT013,C,P,F,F,A,B,O[S],B,C
VDA15IT014,F,F,F,F,B+,C,A+,F,C
VDA15IT015,F,F,B,F,A,B,O[S],C,C
VDA15IT016,F,C,F,C,A+,B,O[S],B,B
VDA15IT017,F,F,F,FE,B,P,B+,F,F
VDA15IT018,F,F,F,F,B+,C,A,F,C
VDA15IT019,F,F,F,FE,A,P,B+,F,F
VDA15IT020,C,P,F,F,B,P,A,F,F
VDA15IT021,B+,B+,C,C,O[S],P,A+,F,C
VDA15IT022,F,F,F,FE,B,P,A,F,C
VDA15IT023,A,B+,C,B,O[S],C,O[S],B,B+
VDA15IT024,F,C,C,C,O[S],B,O[S],B,B+
VDA15IT025,B,C,C,C,A,C,O[S],F,C
VDA15IT026,B,C,C,C,A,C,O[S],F,F
VDA15IT027,F,P,B,B,B+,C,O[S],F,C
VDA15IT028,F,C,C,C,B,C,O[S],F,B+
VDA15IT029,F,F,F,F,B,C,B+,F,F
VDA15IT030,F,F,F,FE,B,C,A+,F,C
VDA15IT031,F,B,B,B,A,P,A,F,C
VDA15IT032,F,F,F,FE,B,P,B,F,F
